freed memory 49@0x268054, size 10 (C:/prg/_git/germz/src/json/json.c:60)
Allocated FAST memory 53@0x2688cc, size 64 (C:/prg/_git/germz/src/bob_new.c:70)
Allocated FAST memory 54@0x268914, size 64 (C:/prg/_git/germz/src/bob_new.c:71)
Allocated FAST memory 55@0x26896c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 56@0x38bc4, size 25600 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 57@0x2689bc, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 58@0x3efcc, size 25600 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated CHIP memory 59@0x453d4, size 68 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:326)
Allocated CHIP memory 60@0x45424, size 68 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:326)
freed memory 36@0x3836c, size 640 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 35@0x268674, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 38@0x385f4, size 640 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 37@0x2686c4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 40@0x3887c, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 39@0x26873c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 42@0x38924, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 41@0x26878c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 44@0x389cc, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 43@0x2687dc, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 46@0x38a74, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 45@0x26882c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 48@0x38b1c, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 47@0x26887c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 18@0x35624, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 17@0x2680f4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 20@0x35b2c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 19@0x268194, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 22@0x36034, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 21@0x2682b4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 24@0x3653c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 23@0x268354, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 26@0x36a44, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 25@0x2683b4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 28@0x36f4c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 27@0x268454, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 30@0x37454, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 29@0x2684fc, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 32@0x3795c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 31@0x268594, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 34@0x37e64, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 33@0x268624, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 56@0x38bc4, size 25600 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 55@0x26896c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 58@0x3efcc, size 25600 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 57@0x2689bc, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 53@0x2688cc, size 64 (C:/prg/_git/germz/src/bob_new.c:88)
